snippet,snippet_baku,tokens,stemmed_tokens,sentiment_label
kfc lokasinya strategis banget tepat pinggir jalan a yani surabaya kalo mau ke surabaya butuh makan enak langsung mampir ke sini parkirnya gampang,kfc lokasinya strategis sekali tepat pinggir jalan a yani surabaya kalo mau ke surabaya butuh makan enak langsung mampir ke sini parkirnya gampang,"['kfc', 'lokasinya', 'strategis', 'sekali', 'tepat', 'pinggir', 'jalan', 'a', 'yani', 'surabaya', 'kalo', 'mau', 'ke', 'surabaya', 'butuh', 'makan', 'enak', 'langsung', 'mampir', 'ke', 'sini', 'parkirnya', 'gampang']","['kfc', 'lokasi', 'strategis', 'sekali', 'tepat', 'pinggir', 'jalan', 'a', 'yani', 'surabaya', 'kalo', 'mau', 'ke', 'surabaya', 'butuh', 'makan', 'enak', 'langsung', 'mampir', 'ke', 'sini', 'parkir', 'gampang']",positif
gak parkir ojol susah,tidak parkir ojol susah,"['tidak', 'parkir', 'ojol', 'susah']","['tidak', 'parkir', 'ojol', 'susah']",negatif
masalah promo kfc netrall hut bni promo ayam 6 harga 81000 pilihann ayam cenderu kecil kasir memilih ayam kecil sampe begitu lamanya pelayan menerapkan 3s,masalah promo kfc netrall hut bni promo ayam 6 harga 81000 pilihann ayam cenderu kecil kasir memilih ayam kecil sampe begitu lamanya pelayan menerapkan 3s,"['masalah', 'promo', 'kfc', 'netrall', 'hut', 'bni', 'promo', 'ayam', '6', 'harga', '81000', 'pilihann', 'ayam', 'cenderu', 'kecil', 'kasir', 'memilih', 'ayam', 'kecil', 'sampe', 'begitu', 'lamanya', 'pelayan', 'menerapkan', '3s']","['masalah', 'promo', 'kfc', 'netrall', 'hut', 'bni', 'promo', 'ayam', '6', 'harga', '81000', 'pilihann', 'ayam', 'cenderu', 'kecil', 'kasir', 'pilih', 'ayam', 'kecil', 'sampe', 'begitu', 'lama', 'layan', 'terap', '3s']",negatif
tiap kesini ac rasanya panas banget,tiap kesini ac rasanya panas sekali,"['tiap', 'kesini', 'ac', 'rasanya', 'panas', 'sekali']","['tiap', 'kesini', 'ac', 'rasa', 'panas', 'sekali']",negatif
cuma makan donat soalnya sesyuka itu sm donatnya,cuma makan donat soalnya sesyuka itu sm donatnya,"['cuma', 'makan', 'donat', 'soalnya', 'sesyuka', 'itu', 'sm', 'donatnya']","['cuma', 'makan', 'donat', 'soal', 'sesyuka', 'itu', 'sm', 'donat']",netral
pukisnya gak tau kenapa kok rasanya gak enak,pukisnya tidak tau kenapa kok rasanya tidak enak,"['pukisnya', 'tidak', 'tau', 'kenapa', 'kok', 'rasanya', 'tidak', 'enak']","['pukisnya', 'tidak', 'tau', 'kenapa', 'kok', 'rasa', 'tidak', 'enak']",positif
beda sama wiyung,beda sama wiyung,"['beda', 'sama', 'wiyung']","['beda', 'sama', 'wiyung']",netral
kasir judes kentang kering ky digoreng ulang,kasir judes kentang kering seperti digoreng ulang,"['kasir', 'judes', 'kentang', 'kering', 'seperti', 'digoreng', 'ulang']","['kasir', 'judes', 'kentang', 'kering', 'seperti', 'goreng', 'ulang']",negatif
mbak2 standing judes bgt,mbak2 standing judes sekali,"['mbak2', 'standing', 'judes', 'sekali']","['mbak2', 'standing', 'judes', 'sekali']",negatif
sekali gak lagi2,sekali tidak lagi2,"['sekali', 'tidak', 'lagi2']","['sekali', 'tidak', 'lagi2']",netral
besar tapi layanan jelek pembeli banyak tapi pegawai sangat minim beli ayam nasi harus nunggu antrian sejam lebih si pemanggil antrian suaranya setengah membentak senyuman maupun ucapan terima kasih kapok beli disini,besar tapi layanan jelek pembeli banyak tapi pegawai sangat minim beli ayam nasi harus nunggu antrian sejam lebih si pemanggil antrian suaranya setengah membentak senyuman maupun ucapan terima kasih kapok beli disini,"['besar', 'tapi', 'layanan', 'jelek', 'pembeli', 'banyak', 'tapi', 'pegawai', 'sangat', 'minim', 'beli', 'ayam', 'nasi', 'harus', 'nunggu', 'antrian', 'sejam', 'lebih', 'si', 'pemanggil', 'antrian', 'suaranya', 'setengah', 'membentak', 'senyuman', 'maupun', 'ucapan', 'terima', 'kasih', 'kapok', 'beli', 'disini']","['besar', 'tapi', 'layan', 'jelek', 'beli', 'banyak', 'tapi', 'pegawai', 'sangat', 'minim', 'beli', 'ayam', 'nasi', 'harus', 'nunggu', 'antri', 'jam', 'lebih', 'si', 'panggil', 'antri', 'suara', 'tengah', 'bentak', 'senyum', 'maupun', 'ucap', 'terima', 'kasih', 'kapok', 'beli', 'sini']",positif
bagi drive thru sangat disarankan mesin berfungsi petugas drive thru ready sehingga walaupun masuk ke jalur drive thru ujungnya tetep markir kendaraan beli counter fyi harap bagi sudha terlanjut berekspektasi drive thru menyiapkan emoney pintu keluara graha pena terima kasih,bagi drive thru sangat disarankan mesin berfungsi petugas drive thru ready sehingga walaupun masuk ke jalur drive thru ujungnya tetep markir kendaraan beli counter fyi harap bagi sudha terlanjut berekspektasi drive thru menyiapkan emoney pintu keluara graha pena terima kasih,"['bagi', 'drive', 'thru', 'sangat', 'disarankan', 'mesin', 'berfungsi', 'petugas', 'drive', 'thru', 'ready', 'sehingga', 'walaupun', 'masuk', 'ke', 'jalur', 'drive', 'thru', 'ujungnya', 'tetep', 'markir', 'kendaraan', 'beli', 'counter', 'fyi', 'harap', 'bagi', 'sudha', 'terlanjut', 'berekspektasi', 'drive', 'thru', 'menyiapkan', 'emoney', 'pintu', 'keluara', 'graha', 'pena', 'terima', 'kasih']","['bagi', 'drive', 'thru', 'sangat', 'saran', 'mesin', 'fungsi', 'tugas', 'drive', 'thru', 'ready', 'sehingga', 'walaupun', 'masuk', 'ke', 'jalur', 'drive', 'thru', 'ujung', 'tetep', 'markir', 'kendara', 'beli', 'counter', 'fyi', 'harap', 'bagi', 'sudha', 'lanjut', 'berekspektasi', 'drive', 'thru', 'siap', 'emoney', 'pintu', 'keluara', 'graha', 'pena', 'terima', 'kasih']",netral
kfc cukup besarbisa muat banyak orang bahkan rombongan,kfc cukup besarbisa muat banyak orang bahkan rombongan,"['kfc', 'cukup', 'besarbisa', 'muat', 'banyak', 'orang', 'bahkan', 'rombongan']","['kfc', 'cukup', 'besarbisa', 'muat', 'banyak', 'orang', 'bahkan', 'rombong']",netral
arena permainan anak smpai umur 8 thnbisa drive thru,arena permainan anak smpai umur 8 thnbisa drive thru,"['arena', 'permainan', 'anak', 'smpai', 'umur', '8', 'thnbisa', 'drive', 'thru']","['arena', 'main', 'anak', 'smpai', 'umur', '8', 'thnbisa', 'drive', 'thru']",netral
parkir cukup luas,parkir cukup luas,"['parkir', 'cukup', 'luas']","['parkir', 'cukup', 'luas']",positif
menu variatifseperti kfc lain tp penambahan dimenu minuman,menu variatifseperti kfc lain tapi penambahan dimenu minuman,"['menu', 'variatifseperti', 'kfc', 'lain', 'tapi', 'penambahan', 'dimenu', 'minuman']","['menu', 'variatifseperti', 'kfc', 'lain', 'tapi', 'tambah', 'menu', 'minum']",netral
da lewat aplikasi malas ngantri,da lewat aplikasi malas antre,"['da', 'lewat', 'aplikasi', 'malas', 'antre']","['da', 'lewat', 'aplikasi', 'malas', 'antre']",negatif
suasana nyaman bagus makan outdoor indoor kfc cofee pukisnya enakk,suasana nyaman bagus makan di luar di dalam kfc cofee pukisnya enakk,"['suasana', 'nyaman', 'bagus', 'makan', 'di', 'luar', 'di', 'dalam', 'kfc', 'cofee', 'pukisnya', 'enakk']","['suasana', 'nyaman', 'bagus', 'makan', 'di', 'luar', 'di', 'dalam', 'kfc', 'cofee', 'pukisnya', 'enakk']",positif
lumayn nih kalo nongkrong2 tp laper soalny ny luas ky ny ga bakalan ampe penuh koktp gatau lagi kalo pas weekend ya kalo weekdays masi oke banget sepi enak gak sumpek,lumayan nih kalo nongkrong2 tapi laper soalny ny luas seperti ny tidak bakalan ampe penuh koktp gatau lagi kalo pas weekend ya kalo weekdays masi oke sekali sepi enak tidak sumpek,"['lumayan', 'nih', 'kalo', 'nongkrong2', 'tapi', 'laper', 'soalny', 'ny', 'luas', 'seperti', 'ny', 'tidak', 'bakalan', 'ampe', 'penuh', 'koktp', 'gatau', 'lagi', 'kalo', 'pas', 'weekend', 'ya', 'kalo', 'weekdays', 'masi', 'oke', 'sekali', 'sepi', 'enak', 'tidak', 'sumpek']","['lumayan', 'nih', 'kalo', 'nongkrong2', 'tapi', 'laper', 'soalny', 'ny', 'luas', 'seperti', 'ny', 'tidak', 'bakal', 'ampe', 'penuh', 'koktp', 'gatau', 'lagi', 'kalo', 'pas', 'weekend', 'ya', 'kalo', 'weekdays', 'mas', 'oke', 'sekali', 'sepi', 'enak', 'tidak', 'sumpek']",positif
berada didepan jalan raya ahmad yani ruangan smokingnya ckup besar lumayan rame kamar mandi bersih pelayanan baik mgkn krn pertama dtang maju terus kfc,berada didepan jalan raya ahmad yani ruangan smokingnya ckup besar lumayan rame kamar mandi bersih pelayanan baik mungkin karena pertama dtang maju terus kfc,"['berada', 'didepan', 'jalan', 'raya', 'ahmad', 'yani', 'ruangan', 'smokingnya', 'ckup', 'besar', 'lumayan', 'rame', 'kamar', 'mandi', 'bersih', 'pelayanan', 'baik', 'mungkin', 'karena', 'pertama', 'dtang', 'maju', 'terus', 'kfc']","['ada', 'depan', 'jalan', 'raya', 'ahmad', 'yani', 'ruang', 'smokingnya', 'ckup', 'besar', 'lumayan', 'rame', 'kamar', 'mandi', 'bersih', 'layan', 'baik', 'mungkin', 'karena', 'pertama', 'dtang', 'maju', 'terus', 'kfc']",positif
nyaman utk perokok are tersendiri ad bermain utk anak utk ulang parkir luas mudah cari,nyaman untuk perokok are tersendiri ad bermain untuk anak untuk ulang parkir luas mudah cari,"['nyaman', 'untuk', 'perokok', 'are', 'tersendiri', 'ad', 'bermain', 'untuk', 'anak', 'untuk', 'ulang', 'parkir', 'luas', 'mudah', 'cari']","['nyaman', 'untuk', 'okok', 'are', 'sendiri', 'ad', 'main', 'untuk', 'anak', 'untuk', 'ulang', 'parkir', 'luas', 'mudah', 'cari']",positif
makan malam disini cukup lumayan riuh,makan malam disini cukup lumayan riuh,"['makan', 'malam', 'disini', 'cukup', 'lumayan', 'riuh']","['makan', 'malam', 'sini', 'cukup', 'lumayan', 'riuh']",netral
ngopi pagipagi disini pun enak,ngopi pagipagi disini pun enak,"['ngopi', 'pagipagi', 'disini', 'pun', 'enak']","['ngopi', 'pagipagi', 'sini', 'pun', 'enak']",positif
duh kenapa pukisnya berubah ya,duh kenapa pukisnya berubah ya,"['duh', 'kenapa', 'pukisnya', 'berubah', 'ya']","['duh', 'kenapa', 'pukisnya', 'ubah', 'ya']",netral
kemarin2 sempet beli skrg beli lagi fix deh berubah,kemarin2 sempet beli skrg beli lagi fix deh berubah,"['kemarin2', 'sempet', 'beli', 'skrg', 'beli', 'lagi', 'fix', 'deh', 'berubah']","['kemarin2', 'sempet', 'beli', 'skrg', 'beli', 'lagi', 'fix', 'deh', 'ubah']",netral
knapa begini huhuhu,knapa begini sedih,"['knapa', 'begini', 'sedih']","['knapa', 'begini', 'sedih']",negatif
pdhl dulu enak bangettttt,pdhl dulu enak bangettttt,"['pdhl', 'dulu', 'enak', 'bangettttt']","['pdhl', 'dulu', 'enak', 'bangettttt']",positif
tempatnya cukup cozy makanannya lengkap enak cocok ngumpul fasilitas mushola kecil dekat parkiran dijam2 sibuk sebaiknya pesan ½ jam sebelumnya,tempatnya cukup cozy makanannya lengkap enak cocok ngumpul fasilitas mushola kecil dekat parkiran dijam2 sibuk sebaiknya pesan ½ jam sebelumnya,"['tempatnya', 'cukup', 'cozy', 'makanannya', 'lengkap', 'enak', 'cocok', 'ngumpul', 'fasilitas', 'mushola', 'kecil', 'dekat', 'parkiran', 'dijam2', 'sibuk', 'sebaiknya', 'pesan', '½', 'jam', 'sebelumnya']","['tempat', 'cukup', 'cozy', 'makan', 'lengkap', 'enak', 'cocok', 'ngumpul', 'fasilitas', 'mushola', 'kecil', 'dekat', 'parkir', 'dijam2', 'sibuk', 'baik', 'pesan', '', 'jam', 'belum']",positif
seperti kita tau kfc merupakan jaringan restoran ayam sudah banyak outlet tersebar dimanamana sudah mempunyai nama sejak dulu pelayanannya sudah bagus tapi mungkin bisa ditingkatkan lagi yaa rasa makanannya perlu diragukan lagi lokasi tempatnya sudah cukup strategis makannya mempunyai ruangan cukup luas baik indoor maupun outdoornya,seperti kita tau kfc merupakan jaringan restoran ayam sudah banyak outlet tersebar dimanamana sudah mempunyai nama sejak dulu pelayanannya sudah bagus tapi mungkin bisa ditingkatkan lagi yaa rasa makanannya perlu diragukan lagi lokasi tempatnya sudah cukup strategis makannya mempunyai ruangan cukup luas baik di dalam maupun outdoornya,"['seperti', 'kita', 'tau', 'kfc', 'merupakan', 'jaringan', 'restoran', 'ayam', 'sudah', 'banyak', 'outlet', 'tersebar', 'dimanamana', 'sudah', 'mempunyai', 'nama', 'sejak', 'dulu', 'pelayanannya', 'sudah', 'bagus', 'tapi', 'mungkin', 'bisa', 'ditingkatkan', 'lagi', 'yaa', 'rasa', 'makanannya', 'perlu', 'diragukan', 'lagi', 'lokasi', 'tempatnya', 'sudah', 'cukup', 'strategis', 'makannya', 'mempunyai', 'ruangan', 'cukup', 'luas', 'baik', 'di', 'dalam', 'maupun', 'outdoornya']","['seperti', 'kita', 'tau', 'kfc', 'rupa', 'jaring', 'restoran', 'ayam', 'sudah', 'banyak', 'outlet', 'sebar', 'dimanamana', 'sudah', 'punya', 'nama', 'sejak', 'dulu', 'layan', 'sudah', 'bagus', 'tapi', 'mungkin', 'bisa', 'tingkat', 'lagi', 'yaa', 'rasa', 'makan', 'perlu', 'ragu', 'lagi', 'lokasi', 'tempat', 'sudah', 'cukup', 'strategis', 'makan', 'punya', 'ruang', 'cukup', 'luas', 'baik', 'di', 'dalam', 'maupun', 'outdoornya']",positif
kulitnya alot dr tampilan sepertinya digoreng ulang putih2 tdk kriuk kulitnya,kulitnya alot dari tampilan sepertinya digoreng ulang putih2 tidak kriuk kulitnya,"['kulitnya', 'alot', 'dari', 'tampilan', 'sepertinya', 'digoreng', 'ulang', 'putih2', 'tidak', 'kriuk', 'kulitnya']","['kulit', 'alot', 'dari', 'tampil', 'seperti', 'goreng', 'ulang', 'putih2', 'tidak', 'kriuk', 'kulit']",netral
mau info next diperhatikan,mau info next diperhatikan,"['mau', 'info', 'next', 'diperhatikan']","['mau', 'info', 'next', 'perhati']",netral
menu namanya es cendol ternyata datang es agerjeli pake santan,menu namanya es cendol ternyata datang es agerjeli pake santan,"['menu', 'namanya', 'es', 'cendol', 'ternyata', 'datang', 'es', 'agerjeli', 'pake', 'santan']","['menu', 'nama', 'es', 'cendol', 'nyata', 'datang', 'es', 'agerjeli', 'pake', 'santan']",netral
no no disini digital counter nga bisa digunakan antrinya biasa tapi pegawai terlalu dikit pelayanan terkesan memaksa cepat malah membuat semakin lama harap pihak kfc menambah pegawainya memperbaiki digital counternya sebagian pelayanan kfc menurun drastis entah kenapa,no no disini digital counter tidak bisa digunakan antrinya biasa tapi pegawai terlalu dikit pelayanan terkesan memaksa cepat malah membuat semakin lama harap pihak kfc menambah pegawainya memperbaiki digital counternya sebagian pelayanan kfc menurun drastis entah kenapa,"['no', 'no', 'disini', 'digital', 'counter', 'tidak', 'bisa', 'digunakan', 'antrinya', 'biasa', 'tapi', 'pegawai', 'terlalu', 'dikit', 'pelayanan', 'terkesan', 'memaksa', 'cepat', 'malah', 'membuat', 'semakin', 'lama', 'harap', 'pihak', 'kfc', 'menambah', 'pegawainya', 'memperbaiki', 'digital', 'counternya', 'sebagian', 'pelayanan', 'kfc', 'menurun', 'drastis', 'entah', 'kenapa']","['no', 'no', 'sini', 'digital', 'counter', 'tidak', 'bisa', 'guna', 'antri', 'biasa', 'tapi', 'pegawai', 'terlalu', 'dikit', 'layan', 'kes', 'paksa', 'cepat', 'malah', 'buat', 'makin', 'lama', 'harap', 'pihak', 'kfc', 'tambah', 'pegawai', 'baik', 'digital', 'counternya', 'bagi', 'layan', 'kfc', 'turun', 'drastis', 'entah', 'kenapa']",netral
kfc berada jalan ahmad yani deket jalan raya kfc terdapat bermain lumayan luas anak2 semakin senang nyaman tempatnya luasbersih nyaman parkiran tertata rapi pelayanan sini sangat ramah pegawainya senyum kepada pelanggan kfc ahmad yani wifinya free pengunjung gg pakai password enak langsung nyambung wifi lancar banget gak salah banyak anak muda kesini mengerjakan tugas atau nongkrong tempatnya nyamanluas bersih,kfc berada jalan ahmad yani deket jalan raya kfc terdapat bermain lumayan luas anak2 semakin senang nyaman tempatnya luasbersih nyaman parkiran tertata rapi pelayanan sini sangat ramah pegawainya senyum kepada pelanggan kfc ahmad yani wifinya free pengunjung gg pakai password enak langsung nyambung wifi lancar sekali tidak salah banyak anak muda kesini mengerjakan tugas atau nongkrong tempatnya nyamanluas bersih,"['kfc', 'berada', 'jalan', 'ahmad', 'yani', 'deket', 'jalan', 'raya', 'kfc', 'terdapat', 'bermain', 'lumayan', 'luas', 'anak2', 'semakin', 'senang', 'nyaman', 'tempatnya', 'luasbersih', 'nyaman', 'parkiran', 'tertata', 'rapi', 'pelayanan', 'sini', 'sangat', 'ramah', 'pegawainya', 'senyum', 'kepada', 'pelanggan', 'kfc', 'ahmad', 'yani', 'wifinya', 'free', 'pengunjung', 'gg', 'pakai', 'password', 'enak', 'langsung', 'nyambung', 'wifi', 'lancar', 'sekali', 'tidak', 'salah', 'banyak', 'anak', 'muda', 'kesini', 'mengerjakan', 'tugas', 'atau', 'nongkrong', 'tempatnya', 'nyamanluas', 'bersih']","['kfc', 'ada', 'jalan', 'ahmad', 'yani', 'deket', 'jalan', 'raya', 'kfc', 'dapat', 'main', 'lumayan', 'luas', 'anak2', 'makin', 'senang', 'nyaman', 'tempat', 'luasbersih', 'nyaman', 'parkir', 'tata', 'rapi', 'layan', 'sini', 'sangat', 'ramah', 'pegawai', 'senyum', 'kepada', 'langgan', 'kfc', 'ahmad', 'yani', 'wifinya', 'free', 'unjung', 'gg', 'pakai', 'password', 'enak', 'langsung', 'nyambung', 'wifi', 'lancar', 'sekali', 'tidak', 'salah', 'banyak', 'anak', 'muda', 'kesini', 'kerja', 'tugas', 'atau', 'nongkrong', 'tempat', 'nyamanluas', 'bersih']",positif
saos tomat harus request ke counter sachetan sangat terbatas,saos tomat harus request ke counter sachetan sangat terbatas,"['saos', 'tomat', 'harus', 'request', 'ke', 'counter', 'sachetan', 'sangat', 'terbatas']","['saos', 'tomat', 'harus', 'request', 'ke', 'counter', 'sachetan', 'sangat', 'batas']",netral
policy begini bikin malas kembali,policy begini bikin malas kembali,"['policy', 'begini', 'bikin', 'malas', 'kembali']","['policy', 'begini', 'bikin', 'malas', 'kembali']",negatif
cabang pelayanan lambat,cabang pelayanan lambat,"['cabang', 'pelayanan', 'lambat']","['cabang', 'layan', 'lambat']",negatif
masih pagi kusudah disini cuma satu pelayan paruh baya dikasir dengan begitu ramah menyapa pelanggan ku perhatikan lagi satu pelayan lagi baru datang masih muda tapi seperti sudah ibu jutek garang gak ramah pelanggan ditatap dengan sinis itu hanya satu pelanggan saja beberapa pelanggan dilayani dengan nada tinggi pelanggan sudah ibu dengan kerudung agak lusuh bawa anak cowo sekitar 6taun an ngantri dikasir tutup eh disinisin jugaihh kzl bettt walaupun bukan gue disinisin pengen gue lempar dada ayam perasaan pelanggan gak salah ngapa gitu amat,masih pagi kusudah disini cuma satu pelayan paruh baya dikasir dengan begitu ramah menyapa pelanggan ku perhatikan lagi satu pelayan lagi baru datang masih muda tapi seperti sudah ibu jutek garang tidak ramah pelanggan ditatap dengan sinis itu hanya satu pelanggan saja beberapa pelanggan dilayani dengan nada tinggi pelanggan sudah ibu dengan kerudung agak lusuh bawa anak cowo sekitar 6taun an antre dikasir tutup eh disinisin jugaihh kzl bettt walaupun bukan gue disinisin pengen gue lempar dada ayam perasaan pelanggan tidak salah ngapa gitu amat,"['masih', 'pagi', 'kusudah', 'disini', 'cuma', 'satu', 'pelayan', 'paruh', 'baya', 'dikasir', 'dengan', 'begitu', 'ramah', 'menyapa', 'pelanggan', 'ku', 'perhatikan', 'lagi', 'satu', 'pelayan', 'lagi', 'baru', 'datang', 'masih', 'muda', 'tapi', 'seperti', 'sudah', 'ibu', 'jutek', 'garang', 'tidak', 'ramah', 'pelanggan', 'ditatap', 'dengan', 'sinis', 'itu', 'hanya', 'satu', 'pelanggan', 'saja', 'beberapa', 'pelanggan', 'dilayani', 'dengan', 'nada', 'tinggi', 'pelanggan', 'sudah', 'ibu', 'dengan', 'kerudung', 'agak', 'lusuh', 'bawa', 'anak', 'cowo', 'sekitar', '6taun', 'an', 'antre', 'dikasir', 'tutup', 'eh', 'disinisin', 'jugaihh', 'kzl', 'bettt', 'walaupun', 'bukan', 'gue', 'disinisin', 'pengen', 'gue', 'lempar', 'dada', 'ayam', 'perasaan', 'pelanggan', 'tidak', 'salah', 'ngapa', 'gitu', 'amat']","['masih', 'pagi', 'sudah', 'sini', 'cuma', 'satu', 'layan', 'paruh', 'baya', 'kasir', 'dengan', 'begitu', 'ramah', 'sapa', 'langgan', 'ku', 'perhati', 'lagi', 'satu', 'layan', 'lagi', 'baru', 'datang', 'masih', 'muda', 'tapi', 'seperti', 'sudah', 'ibu', 'jutek', 'garang', 'tidak', 'ramah', 'langgan', 'tatap', 'dengan', 'sinis', 'itu', 'hanya', 'satu', 'langgan', 'saja', 'beberapa', 'langgan', 'layan', 'dengan', 'nada', 'tinggi', 'langgan', 'sudah', 'ibu', 'dengan', 'kerudung', 'agak', 'lusuh', 'bawa', 'anak', 'cowo', 'sekitar', '6taun', 'an', 'antre', 'kasir', 'tutup', 'eh', 'disinisin', 'jugaihh', 'kzl', 'bettt', 'walaupun', 'bukan', 'gue', 'disinisin', 'ken', 'gue', 'lempar', 'dada', 'ayam', 'asa', 'langgan', 'tidak', 'salah', 'ngapa', 'gitu', 'amat']",netral
lupa tadi gak liat nametag tapi rambutnya agak pendek,lupa tadi tidak liat nametag tapi rambutnya agak pendek,"['lupa', 'tadi', 'tidak', 'liat', 'nametag', 'tapi', 'rambutnya', 'agak', 'pendek']","['lupa', 'tadi', 'tidak', 'liat', 'nametag', 'tapi', 'rambut', 'agak', 'pendek']",netral
kfc a yani tempatnya enak nongkrong indoor outdoor,kfc a yani tempatnya enak nongkrong di dalam di luar,"['kfc', 'a', 'yani', 'tempatnya', 'enak', 'nongkrong', 'di', 'dalam', 'di', 'luar']","['kfc', 'a', 'yani', 'tempat', 'enak', 'nongkrong', 'di', 'dalam', 'di', 'luar']",positif
kalau ingin pesan cepat direkomendasikan makn disini,kalau ingin pesan cepat direkomendasikan makn disini,"['kalau', 'ingin', 'pesan', 'cepat', 'direkomendasikan', 'makn', 'disini']","['kalau', 'ingin', 'pesan', 'cepat', 'rekomendasi', 'makn', 'sini']",positif
tempatnya ramai,tempatnya ramai,"['tempatnya', 'ramai']","['tempat', 'ramai']",netral
pesannya harus antri didepan kasir,pesannya harus antre didepan kasir,"['pesannya', 'harus', 'antre', 'didepan', 'kasir']","['pesan', 'harus', 'antre', 'depan', 'kasir']",netral
outdoornya luas enakan malam kalo kesini makan sambil ngobrol sama temen kalo mau sambil kerja mending indoor kalo siang puanaaass pandemi gini playground anak ditutup tapi pas kesini beberapa anak dibolehin main pelayannya ramah,outdoornya luas enakan malam kalo kesini makan sambil ngobrol sama temen kalo mau sambil kerja mending di dalam kalo siang puanaaass pandemi gini playground anak ditutup tapi pas kesini beberapa anak dibolehin main pelayannya ramah,"['outdoornya', 'luas', 'enakan', 'malam', 'kalo', 'kesini', 'makan', 'sambil', 'ngobrol', 'sama', 'temen', 'kalo', 'mau', 'sambil', 'kerja', 'mending', 'di', 'dalam', 'kalo', 'siang', 'puanaaass', 'pandemi', 'gini', 'playground', 'anak', 'ditutup', 'tapi', 'pas', 'kesini', 'beberapa', 'anak', 'dibolehin', 'main', 'pelayannya', 'ramah']","['outdoornya', 'luas', 'enak', 'malam', 'kalo', 'kesini', 'makan', 'sambil', 'ngobrol', 'sama', 'temen', 'kalo', 'mau', 'sambil', 'kerja', 'mending', 'di', 'dalam', 'kalo', 'siang', 'puanaaass', 'pandemi', 'gin', 'playground', 'anak', 'tutup', 'tapi', 'pas', 'kesini', 'beberapa', 'anak', 'dibolehin', 'main', 'layan', 'ramah']",positif
pelayanan cepat ramah wahana bermain anak kursi banyak bisa makan balkon sayangnya cuci tangan kurang bersih,pelayanan cepat ramah wahana bermain anak kursi banyak bisa makan balkon sayangnya cuci tangan kurang bersih,"['pelayanan', 'cepat', 'ramah', 'wahana', 'bermain', 'anak', 'kursi', 'banyak', 'bisa', 'makan', 'balkon', 'sayangnya', 'cuci', 'tangan', 'kurang', 'bersih']","['layan', 'cepat', 'ramah', 'wahana', 'main', 'anak', 'kursi', 'banyak', 'bisa', 'makan', 'balkon', 'sayang', 'cuci', 'tangan', 'kurang', 'bersih']",positif
suka banget nongkrong disini krn tempatnya strategis tp antrinya bikin boring wkwk,suka sekali nongkrong disini karena tempatnya strategis tapi antrinya bikin boring wkwk,"['suka', 'sekali', 'nongkrong', 'disini', 'karena', 'tempatnya', 'strategis', 'tapi', 'antrinya', 'bikin', 'boring', 'wkwk']","['suka', 'sekali', 'nongkrong', 'sini', 'karena', 'tempat', 'strategis', 'tapi', 'antri', 'bikin', 'boring', 'wkwk']",positif
just saran kasirnya kan cuma 2 orang harusnya 3 orang kasir agar pelayanannya lebih cepat hehe,just saran kasirnya kan cuma 2 orang harusnya 3 orang kasir agar pelayanannya lebih cepat hehe,"['just', 'saran', 'kasirnya', 'kan', 'cuma', '2', 'orang', 'harusnya', '3', 'orang', 'kasir', 'agar', 'pelayanannya', 'lebih', 'cepat', 'hehe']","['just', 'saran', 'kasir', 'kan', 'cuma', '2', 'orang', 'harus', '3', 'orang', 'kasir', 'agar', 'layan', 'lebih', 'cepat', 'hehe']",positif
tempatnya nyaman nongkrong atau makan bareng keluarga apalagi area bermain khusus anakanakhanya saja kalau lagi promosiapsiap harus antri panjang,tempatnya nyaman nongkrong atau makan bareng keluarga apalagi area bermain khusus anakanakhanya saja kalau lagi promosiapsiap harus antre panjang,"['tempatnya', 'nyaman', 'nongkrong', 'atau', 'makan', 'bareng', 'keluarga', 'apalagi', 'area', 'bermain', 'khusus', 'anakanakhanya', 'saja', 'kalau', 'lagi', 'promosiapsiap', 'harus', 'antre', 'panjang']","['tempat', 'nyaman', 'nongkrong', 'atau', 'makan', 'bareng', 'keluarga', 'apalagi', 'area', 'main', 'khusus', 'anakanakhanya', 'saja', 'kalau', 'lagi', 'promosiapsiap', 'harus', 'antre', 'panjang']",positif
kasih fasilitas gratis parkir ojek online dong masa perubahan sama sekali,kasih fasilitas gratis parkir ojek online dong masa perubahan sama sekali,"['kasih', 'fasilitas', 'gratis', 'parkir', 'ojek', 'online', 'dong', 'masa', 'perubahan', 'sama', 'sekali']","['kasih', 'fasilitas', 'gratis', 'parkir', 'ojek', 'online', 'dong', 'masa', 'ubah', 'sama', 'sekali']",netral
makanan enak tapi antrinya panjang banget toilet gak pakai jet shower kurang nyaman tisue habis segera diganti,makanan enak tapi antrinya panjang sekali toilet tidak pakai jet shower kurang nyaman tisue habis segera diganti,"['makanan', 'enak', 'tapi', 'antrinya', 'panjang', 'sekali', 'toilet', 'tidak', 'pakai', 'jet', 'shower', 'kurang', 'nyaman', 'tisue', 'habis', 'segera', 'diganti']","['makan', 'enak', 'tapi', 'antri', 'panjang', 'sekali', 'toilet', 'tidak', 'pakai', 'jet', 'shower', 'kurang', 'nyaman', 'tisue', 'habis', 'segera', 'ganti']",positif
mantap ayamnya enak harga terjangkau,mantap ayamnya enak harga terjangkau,"['mantap', 'ayamnya', 'enak', 'harga', 'terjangkau']","['mantap', 'ayam', 'enak', 'harga', 'jangkau']",positif
